Training,ROUGH,TWI,SLOPE,SPI,LANDCOVER,ELEVATION,CURVE,ASPECT
1,0.473662,1.256432,43.260325,0.339455,4,1915,-0.360263,174.351746
1,0.490766,2.167147,45.65898,0.345118,4,1295,-1.865645,172.637405
1,0.521502,-13.624619,22.268009,-0.410167,4,1706,0.501794,45.674038
1,0.518576,0.477525,42.039954,-0.038226,4,2831,0.990722,315.567261
1,0.482744,-1.402084,46.266027,-0.328604,4,1327,-1.293085,150.079132
1,0.510168,-1.993992,42.536555,-0.412757,4,2881.5,-0.559694,322.480896
1,0.496682,-0.206039,49.834252,-0.05648,4,1465,-1.18372,130.894897
1,0.508916,-2.618312,51.138085,-0.512171,4,1386,-0.077199,137.471664
1,0.479152,-1.76956,43.459513,-0.28139,4,1806,-0.283063,331.504364
1,0.506161,5.902989,21.690957,-0.305494,4,1724,-1.016455,94.763641
1,0.472271,2.283865,50.185533,0.586608,4,1373,-1.222319,135.462051
1,0.498216,0.383136,44.756395,-0.001654,4,1342,0.450328,173.316132
1,0.479567,-3.753555,29.889214,-0.321749,4,1230,0.244464,121.40905
1,0.500306,5.820837,44.327426,1.135059,4,1101,-0.154398,152.274414
1,0.505447,0.133492,43.384121,0.069082,4,1462,-0.836324,213.690063
1,0.508658,-4.202276,50.14212,-1.086336,4,1118,0.308796,177.78035
1,0.489257,-1.369989,52.531036,-0.367744,4,1397,-0.398862,37.528442
1,0.487913,-4.578709,45.621243,-0.963919,4,1310,1.595448,122.704735
1,0.482297,0.315685,42.433261,0.064495,4,1539,0.0386,351.799866
1,0.510945,4.643273,30.25078,0.456018,4,2864,-0.180131,287.189575
1,0.382702,11.268618,18.900323,0.130195,4,1034,-1.447483,102.724358
1,0.494866,1.546003,23.152812,0.123551,4,2932.5,0.463195,352.647614
1,0.461177,-0.584238,38.392073,-0.335449,4,995,0.218731,170.180695
1,0.484044,-3.173549,41.537448,-0.593675,4,1144,0.321663,307.763092
1,0.510053,-1.193384,29.858812,-0.116808,4,1724,-0.154398,303.453308
1,0.533199,5.291222,32.268244,0.597769,4,1351.5,-0.154398,45
1,0.485196,1.298007,44.882884,0.346924,4,1019,-0.173698,151.699249
1,0.50139,1.308423,37.943359,0.161401,4,1052.5,-0.675492,336.967255
1,0.465247,-3.859205,44.71974,-0.793181,4,1431,0.913523,11.14289
1,0.527031,-1.46344,45.303792,-0.194785,4,1092,-0.180131,59.470295
1,0.515587,-12.434383,21.917728,-0.428323,4,2071,0.784858,343.156189
1,0.551801,4.798436,37.060056,0.596131,4,1012.5,-0.057899,75.411079
1,0.511093,0.837196,42.380987,0.094116,4,1649.5,0.984289,5.686034
1,0.4885,-4.277181,41.319038,-0.549323,4,994,1.595448,58.695877
1,0.467781,20.295017,15.366331,0.256652,4,917,-1.080788,93.179832
1,0.493195,2.883752,39.541982,0.418561,4,1053,0,302.249969
1,0.560123,-0.267262,35.608097,-0.071043,4,1398,0.84919,332.123047
1,0.445407,3.154025,42.016617,0.529947,4,1303.5,-1.215886,289.983093
1,0.522889,-9.907045,27.313774,-0.565485,2,2139.5,0.578993,333.788635
1,0.511381,-2.262582,44.604024,-0.463565,6,1207,-0.527527,103.736267
1,0.471247,-5.171327,39.310896,-0.513219,4,976,-0.540394,93.087654
1,0.516412,3.081713,58.790371,1.11894,6,1071,1.543982,80.460907
1,0.520118,-2.887386,25.954386,-0.232257,6,1409.5,-0.057899,80.837654
1,0.511454,-2.702044,43.372508,-0.459824,4,1067.5,0.347396,287.459198
1,0.454939,5.256315,32.414739,0.60816,4,2273,-2.393173,6.215636
1,0.499336,4.261655,43.389377,0.804401,6,1324,-0.463195,97.284027
1,0.485361,3.110717,58.627699,1.030663,6,1014,-0.540394,94.619926
1,0.507788,4.798653,38.104435,0.720037,4,1311,-0.630459,268.007904
1,0.49103,2.004808,41.248925,0.292108,4,1406,-0.540394,269.652771
1,0.493333,-6.114617,37.480238,-0.513211,4,1995,1.093654,345.403412
1,0.522114,-3.804742,35.114075,-0.457432,4,2378,0.488928,324.916534
1,0.493321,3.014065,43.721673,0.501021,4,1514,-0.488928,285.945404
1,0.50522,2.52987,44.120219,0.364116,4,1578,-1.402451,269.090607
1,0.527042,1.624313,34.014693,0.324288,4,2446,0.192998,335.344116
1,0.514082,-6.1157,35.458491,-0.648938,4,2387.5,0.694792,311.742767
1,0.502133,-2.469043,30.492754,-0.184857,5,2261,-0.501794,232.740341
1,0.480027,-13.095812,28.488695,-1.011479,4,2991,0.205864,190.640625
1,0.496651,-2.697023,34.526054,-0.332253,6,1280,-0.135098,61.657845
1,0.497494,1.080681,38.760012,0.135884,6,1224,-0.077199,71.565048
1,0.359861,23.513245,19.346245,0.124957,6,860.5,-1.505383,116.995842
1,0.437954,-1.304892,32.861191,-0.119739,5,3037.5,-0.598293,145.30484
1,0.507941,-6.104872,40.151759,-1.138967,4,2926,1.447483,201.037506
1,0.468268,0.567199,30.540663,0.219865,4,2952,-1.067921,194.237274
1,0.502671,-0.530955,32.600908,0.093163,6,1099,-0.012867,78.690071
1,0.525875,-0.456587,36.332689,-0.121015,6,1045,0.308797,102.77124
1,0.484048,-4.584901,38.157932,-0.648628,4,2825,0.926389,280.597321
1,0.477532,18.796459,25.92925,1.21326,4,1252,-1.312385,270
1,0.479749,16.774431,30.326998,1.550942,2,1344,-1.466783,250.13295
1,0.526018,10.927681,30.191226,1.025493,5,2196,0.656193,280.049347
1,0.473652,11.391956,20.47104,0.280658,4,2680,-1.215886,270
1,0.511148,-11.094996,25.346614,-0.651747,4,2893,-0.578993,180
1,0.434896,8.952893,39.523227,0.6245,6,862,-0.900656,263.659821
1,0.534664,-4.492269,31.364885,-0.411915,2,2592,1.106521,251.392471
1,0.483257,6.17312,26.019731,0.500936,4,2627,-0.527527,253.300751
1,0.476737,3.178805,34.199405,0.242119,4,2746,-0.244464,281.496552
1,0.471772,4.160671,29.187083,0.316648,6,1886,0.167265,105.993584
1,0.506021,-4.348303,37.127048,-0.488816,2,2240,0.617593,246.650436
1,0.548129,-1.705497,32.03035,-0.028255,2,1511,0.057899,91.332222
1,0.503809,-1.259975,44.143555,-0.13028,2,1347,-0.0386,99.648048
1,0.463855,-3.228252,38.547872,-0.427326,6,1191.5,-1.408884,114.632179
1,0.519808,-5.068681,38.595596,-0.752159,5,2782,0.945689,159.874161
1,0.548775,-15.358112,31.454586,-1.132103,4,3138,2.213041,49.594254
1,0.387789,1.24384,9.918404,-0.093848,2,836,-0.630459,115.942299
1,0.51417,-5.522263,38.581217,-0.772135,5,3199,0.25733,160.683655
1,0.491322,0.657751,35.822608,0.01783,4,2917,-0.862057,173.327805
1,0.549796,-11.437133,28.948855,-0.209701,4,3285,1.370284,144.057892
1,0.556732,-27.813922,18.999496,-0.610325,4,2597,1.273785,111.370621
1,0.520045,1.505939,34.116974,0.27839,5,2451,-0.617593,165.677277
1,0.452841,-7.896537,24.307887,-0.590395,4,2636,-0.173698,122.047234
1,0.554082,-5.323356,46.362779,-0.789991,6,1952,2.045777,108.138084
1,0.522786,3.82272,25.854584,0.229876,4,1603,0.012867,274.658264
1,0.573883,-2.836596,42.400089,-0.483432,5,3073,1.132254,190.042023
1,0.484071,-1.516396,35.272885,-0.05171,5,3092,-0.55326,194.715073
1,0.459048,-3.927564,31.848463,-0.405062,4,2752,-1.196586,172.724991
1,0.484003,-2.671431,34.873105,-0.319075,5,1691,-0.694792,159.057343
1,0.41476,8.639808,14.297901,0.357531,2,835,-0.527527,109.411484
1,0.511966,-0.490972,32.497033,-0.066011,4,2505,0.244464,166.53479
1,0.541156,-0.051272,49.15654,0.086306,5,1868,-0.347396,136.58017
1,0.483925,3.791448,26.755407,0.216984,5,1609.5,-0.771991,152.056961
1,0.407556,-70.422984,5.362972,-0.17345,6,829,-0.173698,146.309937
1,0.523905,-18.40079,18.900589,-0.524737,4,2951,0.752691,133.02507
1,0.493563,1.175098,54.305105,0.362521,5,2729.5,-1.312385,196.039948
1,0.519596,4.082849,27.332616,0.400447,5,3006,-0.0193,186.033249
1,0.551232,-1.933057,47.725113,-0.216469,5,2344,1.080788,137.792709
1,0.511357,4.46612,41.031569,0.737364,6,2178,-0.578993,145.00798
1,0.369017,7.498305,9.36928,-0.13545,6,822,-0.476061,157.833649
1,0.514223,-5.841568,45.754517,-1.016579,5,2297,1.698381,186.483078
1,0.479731,1.013375,37.558268,0.033695,5,2318,-1.273785,183.035568
1,0.483857,-0.642804,36.620504,-0.135536,6,2055,0.578993,171.552475
1,0.446419,73.655755,7.237341,0.200594,2,820,-0.33453,228.57634
1,0.524289,3.790248,52.96303,1.102989,4,2715,-0.836324,224.033081
1,0.479907,1.231656,44.188694,0.277652,5,2787,-0.141532,224.05043
1,0.478492,-0.976034,34.190474,0.021928,5,2553,-0.55326,175.601288
1,0.48285,1.995507,47.354662,0.261754,2,2259,-1.77558,252.710815
1,0.459873,-26.605343,17.494337,-0.221888,4,2255,0.308796,219.289413
1,0.513165,-7.513742,23.760539,-0.440133,5,1570,0.443895,163.024506
1,0.477776,1.629698,40.528145,0.249917,6,1088.5,0.289497,139.114914
1,0.527422,3.482597,33.828044,0.505789,6,953,0.405295,132.8591
1,0.493891,-1.28672,19.201965,-0.09108,4,2622.5,-0.694792,187.431412
1,0.554313,0.958022,32.645004,0.113643,4,2853,-0.694792,149.743561
1,0.48449,0.278959,37.798126,0.101357,5,1581,-0.283063,122.213295
1,0.524764,-1.156561,27.606154,-0.262584,2,2199,0.964989,227.67543
1,0.526463,-3.559345,44.142687,-0.457928,4,2465,1.299519,252.121307
1,0.56645,-3.897744,37.676636,-0.433967,4,1078,1.672648,300.103729
1,0.566503,4.273629,32.965508,0.528775,4,3018,0.360263,151.858398
1,0.514961,-8.546917,29.705377,-0.46544,5,2464,1.325252,25.994017
1,0.524598,-5.622135,17.825724,-0.063024,5,2485.5,0.057899,153.004166
1,0.497213,7.161294,39.104794,0.949275,6,1618,0.025733,110.629883
1,0.482334,6.703793,34.11342,0.786731,6,860,-0.102932,138.601273
1,0.521461,-30.047987,19.084088,-0.393749,4,2472,0.244464,238.626999
1,0.453932,17.370816,19.317915,0.296569,5,2436,-0.862057,142.399597
1,0.477979,0.028168,21.176112,-0.06828,4,2444,-0.411729,225
1,0.541717,-4.756893,48.146298,-1.004985,5,2678,1.029322,206.565048
1,0.489074,1.645327,45.099279,0.346445,6,902,-0.192998,130.522125
1,0.388582,13.125347,22.269018,0.265698,6,801,-1.022888,159.809402
1,0.516406,3.08311,37.197716,0.348444,4,1107.5,1.157987,309.774078
1,0.513569,-6.963362,31.226527,-0.450985,4,2897,0.656192,164.809113
1,0.494571,0.98511,36.075267,0.108286,4,2465.5,0.289497,147.12709
1,0.50099,-7.229406,32.832123,-0.889404,5,2480.5,0.598293,92.602562
1,0.48699,2.771062,37.233015,0.41628,4,2474,-0.231597,154.369766
1,0.482304,1.995491,27.90192,0.254572,4,2287,-0.733392,132.031769
1,0.515492,-2.692375,35.520962,-0.400523,4,954,0.964989,306.488281
1,0.503208,-0.495851,46.121209,-0.113689,5,2695,0.411729,138.066483
1,0.312761,47.355703,12.675084,0.285253,6,784,-1.486083,142.009384
1,0.519761,-11.409391,28.201411,-0.676443,4,2392.5,1.042188,123.388512
1,0.49734,6.180577,29.47153,0.54341,5,2321,-0.192998,149.676392
1,0.619434,-16.632189,23.298365,-0.166836,5,2335,1.215886,207.512009
1,0.574521,-33.807498,17.297117,-0.617535,2,2335,1.235186,116.565048
1,0.504128,4.954425,40.472493,0.822036,4,1020,0.823457,319.82077
1,0.523284,-2.432368,52.184126,-0.441713,5,2353,0.977855,192.551697
1,0.536346,-0.697372,52.418545,-0.152215,6,2094,0.823457,165.398727
1,0.504093,-6.498097,29.403178,-0.552985,5,1842,1.042188,139.028259
1,0.522758,-0.533887,24.321182,-0.078814,5,2112,0,204.001282
1,0.454221,-1.284542,36.71185,-0.079986,5,2036,-0.231597,139.647964
1,0.472856,-6.316913,35.544446,-0.782248,6,2192.5,1.350985,177.337006
1,0.493409,0.070929,50.911336,0.008924,6,1852,0.617593,172.455078
1,0.503002,-2.1333,46.042211,-0.515485,2,1761,1.157987,167.550003
1,0.527133,2.171049,32.028928,0.359493,5,2043,0.636893,164.913651
1,0.53776,8.11828,29.542674,0.702462,5,2051.5,-0.308796,191.976135
1,0.546713,0.214515,21.309951,0.063642,5,2364.5,0.656192,141.58194
1,0.499735,0.451472,37.639581,0.240286,6,1722,-0.205864,170.928497
1,0.456634,7.412482,20.725742,0.624798,6,763,-1.222319,105.037819
1,0.469561,-6.85911,23.806047,-0.11029,4,2341,0.205864,148.045639
1,0.47908,3.288082,36.834683,0.497616,4,2436,0,134.618027
1,0.477673,-11.003949,30.570977,-0.915134,5,2097,0.385996,206.053497
1,0.540219,10.896519,46.503713,2.220397,5,1931,-0.681926,158.922501
1,0.571733,0.963979,32.139923,0.191933,5,1971,0.836324,211.966644
1,0.505933,-1.562365,45.151337,-0.406419,6,1044.5,0.540394,284.247345
1,0.477558,-12.155315,19.582472,-0.632347,5,2217,0.347396,145.980652
1,0.498574,-3.101274,31.58653,-0.278741,5,2202.5,0.482494,188.595917
1,0.47742,4.996737,35.312229,0.616721,4,2594,-0.643326,158.607117
1,0.499434,7.806113,24.120093,0.438095,5,2203,-0.398862,129.025681
1,0.510398,-17.154024,23.741916,-0.924046,5,2183,0.476061,185.82634
1,0.465694,-1.036148,22.336244,-0.010559,5,2161,0.077199,154.11972
1,0.506983,6.494517,42.158366,1.15058,6,846,0.051466,266.065216
1,0.503467,-9.570989,18.525969,-0.134521,5,2258,0.102932,136.1017
1,0.556613,0.019562,23.762144,-0.052777,5,2229,0.398862,164.953613
1,0.513048,-1.792345,36.836056,-0.245879,6,2183,0.900656,232.284027
1,0.431761,17.727277,25.062174,0.583,6,760,-1.293085,250.866364
1,0.506643,-3.255171,18.403413,-0.090416,5,2229,-0.0193,143.972626
1,0.500727,3.752117,18.95696,0.200512,5,2095,-0.115799,156.960571
1,0.530177,-5.423067,23.758158,-0.358056,5,2086,-0.057899,170.433319
1,0.476942,9.194079,22.718361,0.438105,5,2073,-0.308796,154.397812
1,0.514203,1.70405,35.313548,0.129951,6,2148.5,0.964989,215.803345
1,0.516512,-5.175257,32.469716,-0.281343,5,1798,0.270197,155.185806
1,0.445654,2.097265,24.630686,0.000418,6,763,-0.88779,293.838745
1,0.469873,4.524728,16.404731,-0.08155,5,2215,-0.115799,162.582031
1,0.533933,-5.743715,30.561798,-0.565679,5,1747,0.59186,169.99202
1,0.542547,-1.070204,56.817101,-0.433217,6,1130,1.286652,198.955811
1,0.487392,5.314156,20.713272,0.243439,5,2146,-0.180131,158.629379
1,0.493979,-4.524646,30.214328,-0.453248,5,1789,-0.167265,119.931511
1,0.534591,-9.68831,20.852091,-0.228924,5,1798,0.514661,194.534454
1,0.46469,4.708513,28.90052,0.243898,5,1679.5,-1.331685,148.038651
1,0.497457,0.29966,25.922432,0.111375,5,1700.5,-0.0193,189.566681
1,0.50834,-6.525529,36.083333,-0.868431,2,834,0.90709,117.474434
1,0.492011,-8.197398,33.977969,-0.772053,6,1205,0.694792,291.139832
1,0.523069,-4.07201,38.542714,-0.509181,6,1292,1.022888,248.710556
1,0.432263,-5.698799,32.086034,-0.424097,5,2206,-0.405295,158.868332
1,0.505624,5.898477,32.681888,0.605335,6,1338,0.090066,225
1,0.514034,4.129859,32.598772,0.388591,6,1410,-0.450328,237.380753
1,0.486801,7.23252,23.210683,0.423326,5,2163,-0.180131,178.745544
1,0.520559,5.223435,20.839452,0.181327,2,1755,-0.501794,102.407417
